,cities,lat,long,d1,d2,d3,sharp2,heat2,sharp3,heat3,sharp4,heat4,sharp5,heat5,sharp6,heat6,sharp7,heat7,sharp8,heat8,sharp9,heat9,sharp10,heat10
572,丹阳,32.00945,119.606933,0.004186154,0.150112625,-0.086417541,Cluster 1,Z,Cluster 3,Cluster 3_a,Cluster 4,Cluster 4_a,Cluster 1,Cluster 1_b,Cluster 4,Z,Cluster 6,Z,Cluster 3,Z,Cluster 3,Z,Cluster 7,Z
573,句容,31.944833,119.168646,-0.135488211,0.064900574,-0.057915294,Cluster 2,Cluster 2_a,Cluster 1,Cluster 1_b,Cluster 2,Z,Cluster 2,Cluster 2_a,Cluster 6,Cluster 6_a,Cluster 1,Z,Cluster 4,Z,Cluster 5,Cluster 5_a,Cluster 8,Cluster 8_a
574,扬中,32.236453,119.796828,-0.066402233,0.104577784,-0.053890863,Cluster 2,Cluster 2_b,Cluster 3,Cluster 3_b,Cluster 4,Cluster 4_a,Cluster 2,Z,Cluster 4,Z,Cluster 6,Cluster 6_a,Cluster 3,Cluster 3_a,Cluster 4,Cluster 4_a,Cluster 10,Cluster 10_a
575,崇仁,27.764365,116.061222,0.151965802,0.110122114,0.084095683,Cluster 1,Cluster 1_a,Cluster 3,Cluster 3_b,Cluster 4,Z,Cluster 1,Cluster 1_a,Cluster 4,Z,Cluster 4,Cluster 4_a,Cluster 8,Cluster 8_a,Cluster 8,Cluster 8_a,Cluster 9,Cluster 9_a
576,东乡,28.247712,116.60333,0.117602138,0.114283655,0.107669353,Cluster 1,Cluster 1_b,Cluster 3,Cluster 3_a,Cluster 4,Cluster 4_b,Cluster 1,Cluster 1_a,Cluster 4,Cluster 4_a,Cluster 4,Cluster 4_a,Cluster 8,Z,Cluster 8,Cluster 8_a,Cluster 9,Cluster 9_a
577,广昌,26.837282,116.325711,0.09598737,0.064120394,0.075751462,Cluster 1,Cluster 1_b,Cluster 3,Cluster 3_a,Cluster 4,Cluster 4_b,Cluster 1,Cluster 1_a,Cluster 4,Cluster 4_a,Cluster 4,Cluster 4_a,Cluster 8,Z,Cluster 8,Cluster 8_a,Cluster 9,Cluster 9_a
578,金溪,27.91912,116.75484,0.101179852,0.100479689,0.083034137,Cluster 1,Cluster 1_b,Cluster 3,Cluster 3_a,Cluster 4,Cluster 4_a,Cluster 1,Cluster 1_a,Cluster 4,Cluster 4_a,Cluster 4,Z,Cluster 8,Z,Cluster 8,Cluster 8_a,Cluster 9,Cluster 9_a
579,乐安,27.428153,115.831097,0.088605365,0.088946687,0.097613105,Cluster 1,Cluster 1_b,Cluster 3,Cluster 3_a,Cluster 4,Cluster 4_b,Cluster 1,Cluster 1_a,Cluster 4,Cluster 4_a,Cluster 4,Cluster 4_a,Cluster 8,Z,Cluster 8,Cluster 8_a,Cluster 9,Cluster 9_a
580,黎川,27.282358,116.907513,0.177142831,0.106237158,0.085662159,Cluster 1,Cluster 1_a,Cluster 3,Cluster 3_b,Cluster 3,Z,Cluster 1,Z,Cluster 4,Z,Cluster 4,Cluster 4_a,Cluster 8,Cluster 8_a,Cluster 8,Cluster 8_a,Cluster 9,Z
581,抚州,27.947804,116.358074,0.087777292,0.113297806,0.113357307,Cluster 1,Cluster 1_b,Cluster 3,Cluster 3_a,Cluster 4,Cluster 4_a,Cluster 1,Cluster 1_a,Cluster 4,Cluster 4_a,Cluster 4,Z,Cluster 3,Z,Cluster 8,Cluster 8_a,Cluster 9,Cluster 9_a
